,address,count,mean,std,min,25%,50%,75%,max
307,13TH & KINCAID,3866.0,3.43197102949,8.49778311218,0.0,0.0,0.0,0.0,70.0
298,13TH & ALDER,1833.0,3.37152209493,8.39766269771,0.0,0.0,0.0,0.0,30.0
225,12TH & KINCAID,1794.0,3.33389074693,8.95925583773,0.0,0.0,0.0,0.0,100.0
473,15TH & KINCAID,1578.0,2.77376425856,7.83267604992,0.0,0.0,0.0,0.0,30.0
218,12TH & ALDER,1159.0,2.83692838654,7.68329162385,0.0,0.0,0.0,0.0,30.0
396,14TH & KINCAID,1140.0,3.21052631579,8.07120820137,0.0,0.0,0.0,0.0,30.0
1481,5TH & HIGH,1011.0,3.43026706231,8.27592439441,0.0,0.0,0.0,0.0,24.0
477,15TH & MOSS,989.0,2.94843276036,7.76126385783,0.0,0.0,0.0,0.0,24.0
1897,BROADWAY & PEARL,984.0,1.90548780488,6.41163508488,0.0,0.0,0.0,0.0,30.0
2224,EAST PARK-8,863.0,3.03128621089,7.88770926141,0.0,0.0,0.0,0.0,30.0
153,11TH & KINCAID,846.0,2.58865248227,7.57548608504,0.0,0.0,0.0,0.0,30.0
1683,8TH & CHARNELTON,841.0,3.55291319857,8.45773071013,0.0,0.0,0.0,0.0,24.0
297,13TH & AGATE,756.0,3.56746031746,15.8025716544,0.0,0.0,0.0,0.0,380.0
3127,SOUTH PARK-1E,718.0,2.66573816156,7.44274071447,0.0,0.0,0.0,0.0,30.0
1692,8TH & OAK,700.0,4.10142857143,9.20485337021,0.0,0.0,0.0,0.0,30.0
3426,WEST PARK-8,664.0,3.26506024096,8.32805408019,0.0,0.0,0.0,0.0,30.0
1895,BROADWAY & OLIVE,618.0,4.11650485437,8.9246450656,0.0,0.0,0.0,0.0,24.0
742,18TH & UNIVERSITY,610.0,2.55737704918,7.2825332349,0.0,0.0,0.0,0.0,24.0
465,15TH & AGATE,586.0,3.03412969283,7.99843119299,0.0,0.0,0.0,0.0,50.0
87,10TH & CHARNELTON,575.0,3.42260869565,8.26966098667,0.0,0.0,0.0,0.0,30.0
311,13TH & MOSS,553.0,3.4068716094,8.30547378085,0.0,0.0,0.0,0.0,24.0
627,17TH & ALDER,532.0,2.30639097744,7.10044404206,0.0,0.0,0.0,0.0,30.0
1955,CHARNELTON ST BROADWAY S,526.0,3.87072243346,8.88607354776,0.0,0.0,0.0,0.0,50.0
391,14TH & ALDER,525.0,2.10857142857,6.72054095034,0.0,0.0,0.0,0.0,30.0
3126,SOUTH PARK-0E,525.0,2.57714285714,7.38759607657,0.0,0.0,0.0,0.0,30.0
723,18TH & AGATE,521.0,3.2245681382,8.54566078912,0.0,0.0,0.0,0.0,50.0
1894,BROADWAY & OAK,480.0,2.55208333333,7.35878863543,0.0,0.0,0.0,0.0,30.0
724,18TH & ALDER,477.0,3.24947589099,8.35746940723,0.0,0.0,0.0,0.0,50.0
306,13TH & HILYARD,474.0,3.56962025316,8.5131663395,0.0,0.0,0.0,0.0,30.0
301,13TH & COLUMBIA,469.0,2.90405117271,7.8010357496,0.0,0.0,0.0,0.0,30.0
97,10TH & PEARL,458.0,3.89082969432,8.84173283767,0.0,0.0,0.0,0.0,30.0
2509,LOT 15,457.0,3.62363238512,8.8197427025,0.0,0.0,0.0,0.0,30.0
403,14TH & PATTERSON,449.0,3.1135857461,8.15738150703,0.0,0.0,0.0,0.0,30.0
626,17TH & AGATE,447.0,2.6711409396,7.47591914623,0.0,0.0,0.0,0.0,30.0
1480,5TH & CHARNELTON,432.0,3.67361111111,8.70061191632,0.0,0.0,0.0,0.0,30.0
3456,WILLAMETTE 11TH AVE 13TH,423.0,3.95744680851,8.80586217424,0.0,0.0,0.0,0.0,30.0
1693,8TH & OLIVE,419.0,3.26491646778,8.1536668406,0.0,0.0,0.0,0.0,24.0
629,17TH & COLUMBIA,412.0,2.72330097087,7.69561702771,0.0,0.0,0.0,0.0,30.0
831,19TH & UNIVERSITY,399.0,2.35839598997,7.26002155634,0.0,0.0,0.0,0.0,30.0
1893,BROADWAY & LINCOLN,398.0,4.20603015075,9.02098107557,0.0,0.0,0.0,0.0,30.0
314,13TH & PATTERSON,396.0,3.51515151515,8.41019710946,0.0,0.0,0.0,0.0,24.0
481,15TH & PATTERSON,395.0,2.17215189873,6.76402353582,0.0,0.0,0.0,0.0,24.0
636,17TH & MOSS,395.0,2.49113924051,7.27918926904,0.0,0.0,0.0,0.0,24.0
