,Location,count,mean,std,min,25%,50%,75%,max,address
0,"""THE CROSSINGS"" - WAGNER",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""THE CROSSINGS"" - WAGNER"
1,$24 NSF CHK,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,$24 NSF CHK
2,-SOUTH PARK - IE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,-SOUTH PARK - IE
3,00 BLOCKJACKSON,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,00 BLOCKJACKSON
4,000 BLOCK EAST 28TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,000 BLOCK EAST 28TH
5,000 BLOCKJACKSON,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,000 BLOCKJACKSON
6,000 BLOCKW.24TH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000 BLOCKW.24TH
7,000E.35TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,000E.35TH
8,07 EUGENE AIRPORT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,07 EUGENE AIRPORT
9,1 BLK EAST OF COMMONS/KINROW,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1 BLK EAST OF COMMONS/KINROW
10,1 BLK EAST OF COMMONS/KINSROW,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,1 BLK EAST OF COMMONS/KINSROW
11,10,59.0,2.4406779661,7.31618702849,0.0,0.0,0.0,0.0,24.0,10
12,100 BLK GARFIELD ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 BLK GARFIELD ST
13,100 BLK GARFIELD STREET,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 BLK GARFIELD STREET
14,100 BLK N JACKSON,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,100 BLK N JACKSON
15,100 BLKALMADEN ALLEY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 BLKALMADEN ALLEY
16,100 BLOCK OF WALLIS,1.0,120.0,,120.0,120.0,120.0,120.0,120.0,100 BLOCK OF WALLIS
