,address,latitude,longitude
0,13TH & KINCAID,44.0455186,-123.0786398
1,13TH & ALDER,44.0455224,-123.0801654
2,12TH & KINCAID,44.0466242,-123.0786501
3,15TH & KINCAID,44.0433296,-123.0786489
4,12TH & ALDER,44.046615,-123.0801596
5,14TH & KINCAID,44.0444236,-123.0786423
6,5TH & HIGH,44.0543007,-123.0881008
7,15TH & MOSS,44.0433029,-123.0664179
8,BROADWAY & PEARL,44.0499,-123.0896849
9,EAST PARK-8,44.0504026,-123.0920019
10,11TH & KINCAID,44.0476651,-123.0786418
11,8TH & CHARNELTON,44.0510026,-123.0957871
12,13TH & AGATE,44.0455013,-123.0696249
13,SOUTH PARK-1E,44.050403,-123.092055
14,8TH & OAK,44.0510188,-123.0911962
15,WEST PARK-8,44.0504026,-123.0920019
16,BROADWAY & OLIVE,44.0499316,-123.0942894
17,18TH & UNIVERSITY,44.0400218,-123.0746423
18,15TH & AGATE,44.0433183,-123.0696294
19,10TH & CHARNELTON,44.0488063,-123.0957704
20,13TH & MOSS,44.0522778,-123.096197
21,17TH & ALDER,44.0411276,-123.0801961
22,CHARNELTON ST BROADWAY S,44.0495438,-123.0960329
23,14TH & ALDER,44.0444144,-123.0801747
24,SOUTH PARK-0E,44.050403,-123.092055
25,18TH & AGATE,44.0400099,-123.0697383
26,BROADWAY & OAK,44.0499024,-123.091206
27,18TH & ALDER,44.0400183,-123.0801984
28,13TH & HILYARD,44.0455269,-123.0821117
29,13TH & COLUMBIA,44.0448302,-123.0726055
30,10TH & PEARL,44.0487983,-123.0904152
31,LOT 15,44.0432919,-123.0631632
32,14TH & PATTERSON,44.0444124,-123.083656
33,17TH & AGATE,44.0411102,-123.0697472
34,5TH & CHARNELTON,44.0543212,-123.0957656
35,WILLAMETTE 11TH AVE 13TH,44.0468219,-123.0929691
36,8TH & OLIVE,44.0510272,-123.0942566
37,17TH & COLUMBIA,44.0411105,-123.0680264
38,19TH & UNIVERSITY,44.0389104,-123.0746391
39,BROADWAY & LINCOLN,44.049926,-123.0973444
40,13TH & PATTERSON,44.045511,-123.084397
41,15TH & PATTERSON,44.043337,-123.0836602
42,17TH & MOSS,44.0411041,-123.0664293
43,11TH & OAK,44.0476987,-123.0912241
44,15TH & VILLARD,44.0432966,-123.0648021
45,5TH & OAK,44.0543142,-123.0911972
46,LOT 36,44.0166882,-123.0836011
47,6TH & HIGH,44.0530736,-123.096141
48,WEST PARK-7,44.0504026,-123.092003
49,BROADWAY ST WILLAMETTE O,44.0499197,-123.0927424
50,15TH & HILYARD,44.0433159,-123.0821606
51,LOT 07 - EUGENE AIRPORT,44.1217811,-123.2159003
52,BROADWAY ST CHARNELTON S,44.0495438,-123.0960329
53,14TH & FERRY,44.0443881,-123.0851798
54,5TH & LAWRENCE,44.0543543,-123.098793
55,19TH & COLUMBIA,44.0389087,-123.0680628
56,5TH & OLIVE,44.0543253,-123.0942646
57,16TH & PATTERSON,44.0422139,-123.0836378
58,WILLAMETTE 13TH AVE 11TH,44.045536,-123.092731
59,15TH & FERRY,44.0433298,-123.0851723
60,14TH & HILYARD,44.044422,-123.0821347
61,12TH & MILL,44.0466138,-123.0866889
62,19TH & POTTER,44.0389336,-123.0762076
63,BROADWAY & HILYARD,44.0499533,-123.0821494
64,18TH & POTTER,44.0400155,-123.0762013
65,WILLAMETTE 10TH AVE 11TH,44.04881,-123.09275
66,7TH & OAK,44.0521298,-123.0911831
67,8TH & PEARL,44.0510152,-123.0896749
68,WILLAMETTE 7TH AVE 8TH A,44.052126,-123.09271
69,6TH & OAK,44.0532273,-123.0912035
70,12TH & FERRY,44.0466036,-123.0851486
71,10TH & OLIVE,44.048818,-123.0942758
72,LOT 07 - AIRPORT TERMINAL,44.1217811,-123.2159003
73,LOT 31,44.0230288,-123.0960773
74,WILLAMETTE 5TH AVE 6TH A,44.0541961,-123.1653374
75,19TH & ONYX,44.0389094,-123.073056
76,16TH & HILYARD,44.042211,-123.0821386
77,5TH & PEARL,44.0543149,-123.0896692
78,WILLAMETTE 6TH AVE 5TH A,44.0541961,-123.1653374
79,15TH & ALDER,44.0433355,-123.0801802
80,18TH & ONYX,44.0400131,-123.0730727
81,LOT 10,44.0100374,-123.0309286
82,LOT 21,44.0366395,-123.1111035
83,19TH & HARRIS,44.0389233,-123.0777203
84,20TH & UNIVERSITY,44.0378395,-123.0746304
85,16TH & ALDER,44.0422243,-123.080209
86,WILLAMETTE END 5TH AVE,44.054116,-123.089438
87,17TH & PATTERSON,44.0411161,-123.083663
88,17TH & FERRY,44.0411226,-123.0851821
89,8TH & LINCOLN,44.0509217,-123.0973176
90,11TH & CHARNELTON,44.0477087,-123.0957841
91,12TH & HIGH,44.0466076,-123.0881392
92,16TH & FERRY,44.0422233,-123.085163
93,18TH & KINCAID,44.0400161,-123.0792544
94,17TH & HILYARD,44.0411243,-123.0821378
95,16TH & OAK,44.0422339,-123.0912232
96,WILLAMETTE 5TH AVE END,44.0543017,-123.0927354
97,14TH & MILL,44.0444153,-123.086713
98,12TH & PATTERSON,44.0465903,-123.0836378
99,WILLAMETTE 11TH AVE 10TH,44.04881,-123.09275
