,address,count,latitude,longitude,max
0,13TH & KINCAID,3866.0,44.0455186,-123.0786398,70.0
1,13TH & ALDER,1833.0,44.0455224,-123.0801654,30.0
2,12TH & KINCAID,1794.0,44.0466242,-123.0786501,100.0
3,15TH & KINCAID,1578.0,44.0433296,-123.0786489,30.0
4,12TH & ALDER,1159.0,44.046615,-123.0801596,30.0
5,14TH & KINCAID,1140.0,44.0444236,-123.0786423,30.0
6,5TH & HIGH,1011.0,44.0543007,-123.0881008,24.0
7,15TH & MOSS,989.0,44.0433029,-123.0664179,24.0
8,BROADWAY & PEARL,984.0,44.0499,-123.0896849,30.0
9,EAST PARK-8,863.0,44.0504026,-123.0920019,30.0
10,11TH & KINCAID,846.0,44.0476651,-123.0786418,30.0
11,8TH & CHARNELTON,841.0,44.0510026,-123.0957871,24.0
12,13TH & AGATE,756.0,44.0455013,-123.0696249,380.0
13,SOUTH PARK-1E,718.0,44.050403,-123.092055,30.0
14,8TH & OAK,700.0,44.0510188,-123.0911962,30.0
15,WEST PARK-8,664.0,44.0504026,-123.0920019,30.0
16,BROADWAY & OLIVE,618.0,44.0499316,-123.0942894,24.0
17,18TH & UNIVERSITY,610.0,44.0400218,-123.0746423,24.0
18,15TH & AGATE,586.0,44.0433183,-123.0696294,50.0
19,10TH & CHARNELTON,575.0,44.0488063,-123.0957704,30.0
20,13TH & MOSS,553.0,44.0522778,-123.096197,24.0
21,17TH & ALDER,532.0,44.0411276,-123.0801961,30.0
22,CHARNELTON ST BROADWAY S,526.0,44.0495438,-123.0960329,50.0
23,14TH & ALDER,525.0,44.0444144,-123.0801747,30.0
24,SOUTH PARK-0E,525.0,44.050403,-123.092055,30.0
25,18TH & AGATE,521.0,44.0400099,-123.0697383,50.0
26,BROADWAY & OAK,480.0,44.0499024,-123.091206,30.0
27,18TH & ALDER,477.0,44.0400183,-123.0801984,50.0
28,13TH & HILYARD,474.0,44.0455269,-123.0821117,30.0
29,13TH & COLUMBIA,469.0,44.0448302,-123.0726055,30.0
30,10TH & PEARL,458.0,44.0487983,-123.0904152,30.0
31,LOT 15,457.0,44.0432919,-123.0631632,30.0
32,14TH & PATTERSON,449.0,44.0444124,-123.083656,30.0
33,17TH & AGATE,447.0,44.0411102,-123.0697472,30.0
34,5TH & CHARNELTON,432.0,44.0543212,-123.0957656,30.0
35,WILLAMETTE 11TH AVE 13TH,423.0,44.0468219,-123.0929691,30.0
