,Unnamed: 0_x,address,count,latitude,longitude,max,Unnamed: 0_y,Jul_sum,Jul_count,Aug_sum,Aug_count,Sep_sum,Sep_count,Oct_sum,Oct_count,Nov_sum,Nov_count,Dec_sum,Dec_count,Jan_sum,Jan_count,Feb_sum,Feb_count,Mar_sum,Mar_count,Apr_sum,Apr_count,May_sum,May_count,Jun_sum,Jun_count
0,0,13TH & KINCAID,3866.0,44.0455186,-123.0786398,70.0,0,1530.0,357.0,1305.0,294.0,1167.0,323.0,1259.0,340.0,1122.0,306.0,684.0,245.0,714.0,301.0,1040.0,366.0,930.0,360.0,1333.0,338.0,948.0,325.0,1236.0,311.0
1,1,13TH & ALDER,1833.0,44.045522399999996,-123.08016540000001,30.0,1,606.0,173.0,447.0,146.0,474.0,169.0,642.0,200.0,318.0,134.0,366.0,131.0,417.0,139.0,528.0,141.0,522.0,154.0,582.0,147.0,690.0,153.0,588.0,146.0
2,2,12TH & KINCAID,1794.0,44.046624200000004,-123.07865009999999,100.0,2,504.0,121.0,672.0,175.0,598.0,159.0,540.0,159.0,426.0,133.0,388.0,96.0,460.0,130.0,324.0,153.0,522.0,145.0,548.0,155.0,516.0,212.0,483.0,156.0
3,3,15TH & KINCAID,1578.0,44.0433296,-123.0786489,30.0,3,366.0,131.0,453.0,128.0,390.0,148.0,414.0,149.0,282.0,133.0,240.0,95.0,366.0,135.0,309.0,136.0,378.0,145.0,492.0,147.0,420.0,124.0,267.0,107.0
4,4,12TH & ALDER,1159.0,44.046615,-123.08015959999999,30.0,4,306.0,109.0,276.0,109.0,378.0,99.0,408.0,127.0,156.0,93.0,192.0,46.0,192.0,80.0,300.0,97.0,312.0,111.0,216.0,95.0,288.0,102.0,264.0,91.0
5,5,14TH & KINCAID,1140.0,44.0444236,-123.0786423,30.0,5,348.0,96.0,372.0,95.0,384.0,108.0,549.0,104.0,372.0,96.0,288.0,57.0,156.0,103.0,216.0,94.0,123.0,98.0,312.0,105.0,288.0,89.0,252.0,95.0
6,6,5TH & HIGH,1011.0,44.054300700000006,-123.08810079999999,24.0,6,324.0,91.0,324.0,93.0,192.0,71.0,228.0,76.0,276.0,96.0,264.0,96.0,228.0,92.0,264.0,92.0,468.0,77.0,240.0,88.0,168.0,49.0,492.0,90.0
7,7,15TH & MOSS,989.0,44.0433029,-123.0664179,24.0,7,72.0,32.0,24.0,11.0,96.0,48.0,384.0,149.0,588.0,104.0,36.0,35.0,228.0,82.0,336.0,113.0,360.0,120.0,324.0,128.0,324.0,108.0,144.0,59.0
8,8,BROADWAY & PEARL,984.0,44.0499,-123.08968490000002,30.0,8,291.0,77.0,120.0,64.0,84.0,47.0,204.0,100.0,108.0,82.0,87.0,87.0,228.0,83.0,60.0,82.0,192.0,100.0,258.0,99.0,123.0,93.0,120.0,70.0
9,9,EAST PARK-8,863.0,44.0504026,-123.09200190000001,30.0,9,120.0,65.0,402.0,89.0,300.0,72.0,120.0,76.0,204.0,34.0,156.0,69.0,168.0,58.0,144.0,66.0,144.0,73.0,114.0,83.0,420.0,91.0,324.0,87.0
10,10,11TH & KINCAID,846.0,44.0476651,-123.0786418,30.0,10,216.0,67.0,165.0,61.0,150.0,78.0,246.0,95.0,228.0,91.0,96.0,36.0,126.0,65.0,210.0,87.0,48.0,58.0,120.0,63.0,261.0,85.0,324.0,60.0
